                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5568,                  1.769,                 1.6917,                0.67689,                0.77184,                0.77745,                0.44519,                 1.4308,                 1.2849,                 1.5602,             0.00041132,             0.00041132,             0.00041132
                      2,                 1.4823,                 1.3152,                 1.6008,                0.70833,                 0.5403,                0.58584,                0.28226,                    1.8,                 1.7881,                 1.8568,             0.00078701,             0.00078701,             0.00078701
                      3,                 1.4838,                 1.2957,                 1.6058,                0.70739,                0.59855,                0.69274,                0.37586,                 1.4837,                 1.3769,                 1.5878,              0.0011214,              0.0011214,              0.0011214
                      4,                 1.4803,                 1.2661,                  1.607,                0.76663,                0.57869,                0.70716,                0.37844,                 1.5606,                 1.3098,                 1.6502,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4519,                 1.2108,                 1.5739,                0.74193,                0.70026,                0.82331,                0.47388,                 1.3838,                 1.1935,                 1.4903,              0.0010644,              0.0010644,              0.0010644
                      6,                 1.4334,                 1.1526,                 1.5674,                0.85568,                0.77524,                0.87059,                0.51071,                 1.4893,                 0.9943,                 1.5497,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.3864,                 1.0663,                 1.5165,                0.91194,                0.80065,                 0.8904,                0.54154,                 1.3825,                0.86707,                 1.4747,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.3783,                 1.0598,                 1.5077,                0.84039,                0.73687,                0.82552,                0.44851,                 1.5807,                0.93473,                 1.5813,             0.00087875,             0.00087875,             0.00087875
                      9,                 1.3764,                 1.0165,                  1.518,                0.91392,                0.81625,                 0.9165,                0.58429,                 1.2784,                0.76439,                 1.3803,             0.00081688,             0.00081688,             0.00081688
                     10,                 1.3121,                0.97167,                 1.4855,                0.89754,                0.84416,                0.92408,                0.58543,                  1.257,                0.78249,                  1.388,               0.000755,               0.000755,               0.000755
                     11,                 1.2958,                0.82414,                 1.5066,                0.92148,                0.84015,                0.91618,                 0.5894,                 1.2491,                0.75343,                 1.3752,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.3053,                0.80281,                 1.5186,                0.92873,                0.87097,                0.93048,                0.58646,                 1.3154,                0.73608,                 1.4098,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.2672,                0.74736,                 1.4841,                0.91284,                0.84188,                0.93414,                0.59935,                 1.2693,                0.71739,                 1.3646,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.1975,                0.71487,                 1.4399,                0.90363,                0.82227,                 0.8762,                0.54678,                 1.3013,                0.76822,                 1.3875,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.1562,                0.66146,                 1.4119,                0.93862,                0.87579,                0.94059,                0.62446,                 1.2081,                0.67014,                 1.3298,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.1466,                0.63388,                 1.3967,                0.95076,                0.86002,                0.92837,                0.60262,                 1.2451,                0.68212,                 1.3617,             0.00038375,             0.00038375,             0.00038375
                     17,                  1.137,                0.62484,                 1.3886,                0.94417,                0.86969,                0.94065,                0.62377,                 1.2139,                0.65774,                 1.3327,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.0917,                0.59814,                 1.3663,                0.93627,                0.88892,                0.93969,                0.62463,                  1.203,                0.61612,                 1.3232,                0.00026,                0.00026,                0.00026
                     19,                 1.0857,                0.58229,                 1.3506,                0.93124,                0.89951,                0.94272,                0.62658,                 1.2019,                0.61219,                  1.324,             0.00019813,             0.00019813,             0.00019813
                     20,                 1.0412,                0.56146,                 1.3126,                0.93767,                0.86467,                0.94602,                0.63388,                 1.1896,                0.60358,                 1.3099,             0.00013625,             0.00013625,             0.00013625
